央视,#genre# 
CETV-4,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

NewTV,#genre#
古装剧场,http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8  
惊悚悬疑,http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8 
军事评论,http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8 
爱情喜剧,http://39.135.133.163/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8 
精品大剧,http://39.135.133.180/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8 
怡伴健康,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8 
军旅剧场,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8 
家庭剧场,http://39.135.133.148/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8 
中国功夫,http://39.135.133.172/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8 
农业致富,http://39.135.133.169/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8 
潮妈辣婆,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8 
超级综艺,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8 
超级体育,http://39.135.133.180/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8 
超级电影,http://39.135.133.138/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8 
炫舞未来,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225719/index.m3u8 
纪实人文,http://39.135.133.147/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8 
东北热剧,http://39.135.133.140/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8 
欢乐剧场,http://39.135.133.170/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8 
黑莓电影,http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8 
黑莓动画,http://39.135.133.166/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
新闻综合,http://39.135.133.173/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8 
超级电视,http://39.135.133.151/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8 
动作电影,http://39.135.133.156/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8 

地方,#genre#
黑龙江影视,http://39.135.133.158/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
黑龙江新闻法治,http://39.135.133.180/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226330/index.m3u8
黑龙江文体,http://39.135.133.157/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226239/index.m3u8
黑龙江都市,http://39.135.133.169/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226301/index.m3u8
黑龙江农业科教,http://39.135.133.158/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226242/index.m3u8
黑龙江少儿,http://39.135.133.172/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8
哈尔滨综合,http://39.135.133.177/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226558/index.m3u8
哈尔滨影视,http://39.135.133.142/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8
哈尔滨生活,http://39.135.133.179/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8
佳木斯综合,http://39.135.133.159/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8
牡丹江综合,http://39.135.135.61/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226422/index.m3u8
鹤岗综合,http://39.135.133.173/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
漠河综合,http://39.135.133.140/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226535/index.m3u8
大庆教育,http://39.135.133.140/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8

浙江,#genre#
浙江钱江都市,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8

test,#genre#
PLAYBOY 1,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6242/index.m3u8
PLAYBOY 2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6280/index.m3u8
SEXART,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6165/index.m3u8
ADULTIME,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6166/index.m3u8
EXXXOTICA,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/2397/index.m3u8
ANGELS1,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6169/index.m3u8
babes,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6171/index.m3u8
BANG BROS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6173/index.m3u8
BANG,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6174/index.m3u8
BLACKED,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6178/index.m3u8
PENTHOUSE,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5013/index.m3u8
EROXXX,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5015/index.m3u8
CHERRYPIMPS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6185/index.m3u8
CLUBWEETHEARTS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6186/index.m3u8
CUMLOUDER,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6189/index.m3u8
CUM4K,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6190/index.m3u8
DAUGHTER,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6191/index.m3u8
BRAZZERS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6192/index.m3u8
DDF NETWORK1,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6193/index.m3u8
DDF NETWORK2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6194/index.m3u8
DP DIGITAL,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6196/index.m3u8
DIGITALDESIRE,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6195/index.m3u8
DORCELLCLUB,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6197/index.m3u8
ANGLES2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6198/index.m3u8
EVILANGEL,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6199/index.m3u8
EVOLVEDFIGHTSLEZ,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6200/index.m3u8
FAKETAXI,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6202/index.m3u8
MYLF,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6216/index.m3u8
DDF NETWORK3,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6217/index.m3u8
HARDX,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6218/index.m3u8
HITZEFREI,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6220/index.m3u8
HOLED,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6221/index.m3u8
BARZZERS2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6222/index.m3u8
HOTGUYS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6223/index.m3u8
JAPANHDV,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6225/index.m3u8
LESBEA,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6227/index.m3u8
LETHAL,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6229/index.m3u8
LITTLEASIANS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6230/index.m3u8
METART,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6233/index.m3u8
BANG BROS2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6235/index.m3u8
MYLF2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6236/index.m3u8
NAUGHTY,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6237/index.m3u8
NUBILES,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6238/index.m3u8
PENTHOUSE 1,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5010/index.m3u8
PENTHOUSE 2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5011/index.m3u8 
PENTHOUSE 3,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5013/index.m3u8
X4K,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5014/index.m3u8 
EROXXX2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/5015/index.m3u8
EROX HD,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6296/index.m3u8
XX PLUS,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6288/index.m3u8
XX MIX,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6287/index.m3u8
XX MAX,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6286/index.m3u8
LEO TV,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6272/index.m3u8
HOT XXX,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6276/index.m3u8
HOT PLEASURE,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6277/index.m3u8
WICKED,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6268/index.m3u8
BALKAN EROTIC,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6270/index.m3u8
VIXEN,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6265/index.m3u8
REALITYKINGS 1,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6266/index.m3u8
REALITYKINGS 2,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6249/index.m3u8
REALITYKINGS 3,http://rhsbjv7k.tvclub.xyz/iptv/MGQGZMUEWZZ6V8/6248/index.m3u8
